Latitude (decimal degrees):	59.246
Longitude (decimal degrees):	18.035
Elevation (m):	57
Radiation database:	PVGIS-SARAH3


Slope: 42 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20220104:2111,0.0,0.0,0.0,-0.02,3.52,0.0
20220104:2211,0.0,0.0,0.0,-0.08,3.38,0.0
20220104:2311,0.0,0.0,0.0,-0.33,3.17,0.0
20220105:0011,0.0,0.0,0.0,-0.49,3.03,0.0
20220105:0111,0.0,0.0,0.0,-0.38,3.1,0.0
20220105:0211,0.0,0.0,0.0,-0.3,3.17,0.0
20220105:0311,0.0,0.0,0.0,-0.13,3.31,0.0
20220105:0411,0.0,0.0,0.0,0.13,3.38,0.0
20220105:0511,0.0,0.0,0.0,0.15,3.31,0.0
20220105:0611,0.0,0.0,0.0,-0.05,3.17,0.0
20220105:0711,0.0,0.0,0.0,-0.36,2.97,0.0
20220105:0811,0.0,5.38,1.65,-0.42,2.69,0.0
20220105:0911,8.12,19.72,5.5,-0.43,2.41,0.0
20220105:1011,10.63,23.31,7.68,-0.26,2.28,0.0
20220105:1111,1.54,8.97,8.05,-0.13,2.55,0.0
20220105:1211,0.69,7.17,6.56,-0.29,2.76,0.0
20220105:1311,0.0,3.59,3.33,-0.51,2.97,0.0
20220105:1411,0.0,0.0,0.0,-1.03,3.59,0.0
20220105:1511,0.0,0.0,0.0,-1.8,3.86,0.0
20220105:1611,0.0,0.0,0.0,-2.88,4.55,0.0
20220105:1711,0.0,0.0,0.0,-4.03,4.9,0.0
20220105:1811,0.0,0.0,0.0,-4.82,4.83,0.0
20220105:1911,0.0,0.0,0.0,-4.86,5.03,0.0
20220105:2011,0.0,0.0,0.0,-5.08,5.24,0.0
20220105:2111,0.0,0.0,0.0,-4.92,6.21,0.0
20220105:2211,0.0,0.0,0.0,-4.6,6.69,0.0
20220105:2311,0.0,0.0,0.0,-4.33,5.93,0.0
20220106:0011,0.0,0.0,0.0,-3.94,5.66,0.0
20220106:0111,0.0,0.0,0.0,-3.68,5.38,0.0
20220106:0211,0.0,0.0,0.0,-3.71,5.17,0.0
20220106:0311,0.0,0.0,0.0,-3.99,5.1,0.0
20220106:0411,0.0,0.0,0.0,-4.36,5.66,0.0
20220106:0511,0.0,0.0,0.0,-4.75,5.24,0.0
20220106:0611,0.0,0.0,0.0,-5.16,4.97,0.0
20220106:0711,0.0,0.0,0.0,-5.92,4.9,0.0
20220106:0811,0.74,7.17,1.73,-6.33,4.83,0.0
20220106:0911,311.67,339.81,5.59,-6.31,4.69,0.0
20220106:1011,348.39,378.92,7.79,-5.99,4.34,0.0
20220106:1111,532.1,577.43,8.17,-5.67,4.34,0.0
20220106:1211,454.05,492.17,6.69,-5.51,4.62,0.0
20220106:1311,65.91,86.03,3.47,-5.59,4.41,0.0
20220106:1411,0.0,0.0,0.0,-5.99,4.28,0.0
20220106:1511,0.0,0.0,0.0,-6.32,4.14,0.0
20220106:1611,0.0,0.0,0.0,-6.5,4.07,0.0
20220106:1711,0.0,0.0,0.0,-6.63,4.07,0.0
20220106:1811,0.0,0.0,0.0,-6.69,4.07,0.0
20220106:1911,0.0,0.0,0.0,-6.68,4.07,0.0
20220106:2011,0.0,0.0,0.0,-6.77,4.14,0.0
20220106:2111,0.0,0.0,0.0,-6.83,4.21,0.0
20220106:2211,0.0,0.0,0.0,-6.89,4.14,0.0
20220106:2311,0.0,0.0,0.0,-6.9,4.0,0.0
20220107:0011,0.0,0.0,0.0,-6.93,3.86,0.0
20220107:0111,0.0,0.0,0.0,-7.0,3.59,0.0
20220107:0211,0.0,0.0,0.0,-7.08,3.38,0.0
20220107:0311,0.0,0.0,0.0,-7.17,3.17,0.0
20220107:0411,0.0,0.0,0.0,-7.23,3.03,0.0
20220107:0511,0.0,0.0,0.0,-7.28,2.83,0.0
20220107:0611,0.0,0.0,0.0,-7.34,2.55,0.0
20220107:0711,0.0,0.0,0.0,-8.08,2.41,0.0
20220107:0811,0.0,1.79,1.81,-8.23,2.0,0.0
20220107:0911,264.81,292.5,5.69,-7.91,1.38,0.0
20220107:1011,349.71,384.94,7.9,-7.16,0.97,0.0
20220107:1111,499.89,556.56,8.29,-6.37,0.69,0.0
20220107:1211,22.31,37.66,6.83,-5.75,0.76,0.0
20220107:1311,0.0,4.48,3.62,-5.26,1.17,0.0
20220107:1411,0.0,0.0,0.0,-4.95,1.79,0.0
20220107:1511,0.0,0.0,0.0,-4.52,2.34,0.0
20220107:1611,0.0,0.0,0.0,-3.93,2.83,0.0
20220107:1711,0.0,0.0,0.0,-3.25,3.17,0.0
20220107:1811,0.0,0.0,0.0,-2.63,3.45,0.0
20220107:1911,0.0,0.0,0.0,-1.55,4.41,0.0
20220107:2011,0.0,0.0,0.0,-1.07,4.76,0.0
20220107:2111,0.0,0.0,0.0,-0.66,5.03,0.0
20220107:2211,0.0,0.0,0.0,-0.22,5.03,0.0
20220107:2311,0.0,0.0,0.0,0.15,4.97,0.0
20220108:0011,0.0,0.0,0.0,0.54,4.9,0.0
20220108:0111,0.0,0.0,0.0,0.74,4.55,0.0
20220108:0211,0.0,0.0,0.0,0.7,4.21,0.0
20220108:0311,0.0,0.0,0.0,0.56,3.66,0.0
20220108:0411,0.0,0.0,0.0,0.5,3.66,0.0
20220108:0511,0.0,0.0,0.0,0.43,3.17,0.0
20220108:0611,0.0,0.0,0.0,0.34,2.62,0.0
20220108:0711,0.0,0.0,0.0,0.34,2.62,0.0
20220108:0811,0.0,0.9,1.9,0.23,2.55,0.0
20220108:0911,11.25,24.21,5.79,0.2,2.48,0.0
20220108:1011,295.03,334.34,8.02,0.25,2.34,0.0
20220108:1111,94.69,119.79,8.43,0.33,2.41,0.0
20220108:1211,99.6,125.02,6.97,0.5,2.28,0.0
20220108:1311,0.0,3.59,3.77,0.43,1.79,0.0
20220108:1411,0.0,0.0,0.0,0.13,1.52,0.0
20220108:1511,0.0,0.0,0.0,-0.08,1.24,0.0
20220108:1611,0.0,0.0,0.0,-0.21,1.31,0.0
20220108:1711,0.0,0.0,0.0,-0.34,1.38,0.0
20220108:1811,0.0,0.0,0.0,-0.5,1.24,0.0
20220108:1911,0.0,0.0,0.0,-0.68,1.52,0.0
20220108:2011,0.0,0.0,0.0,-1.19,1.17,0.0
20220108:2111,0.0,0.0,0.0,-1.94,1.31,0.0
20220108:2211,0.0,0.0,0.0,-2.09,1.79,0.0
20220108:2311,0.0,0.0,0.0,-1.54,2.07,0.0
20220109:0011,0.0,0.0,0.0,-1.19,2.48,0.0
20220109:0111,0.0,0.0,0.0,-0.82,2.69,0.0
20220109:0211,0.0,0.0,0.0,-0.63,3.17,0.0
20220109:0311,0.0,0.0,0.0,-0.65,3.59,0.0
20220109:0411,0.0,0.0,0.0,-0.81,3.66,0.0
20220109:0511,0.0,0.0,0.0,-0.88,3.59,0.0
20220109:0611,0.0,0.0,0.0,-1.09,3.59,0.0
20220109:0711,0.0,0.0,0.0,0.0,2.9,0.0
20220109:0811,0.0,0.9,2.0,-0.13,2.69,0.0
20220109:0911,155.29,184.07,5.91,0.05,2.69,0.0
20220109:1011,132.09,159.49,8.15,0.23,2.9,0.0
20220109:1111,16.59,31.38,8.57,0.41,3.03,0.0
20220109:1211,0.68,7.17,7.12,0.47,3.03,0.0
20220109:1311,0.0,3.59,3.93,0.22,3.1,0.0
20220109:1411,0.0,0.0,0.0,-0.22,3.45,0.0
20220109:1511,0.0,0.0,0.0,-0.47,3.79,0.0
20220109:1611,0.0,0.0,0.0,-0.6,3.93,0.0
20220109:1711,0.0,0.0,0.0,-0.78,3.79,0.0
20220109:1811,0.0,0.0,0.0,-0.98,3.59,0.0
20220109:1911,0.0,0.0,0.0,-1.55,3.38,0.0
20220109:2011,0.0,0.0,0.0,-1.73,3.38,0.0
20220109:2111,0.0,0.0,0.0,-2.02,3.38,0.0
20220109:2211,0.0,0.0,0.0,-1.93,3.45,0.0
20220109:2311,0.0,0.0,0.0,-1.97,3.17,0.0
20220110:0011,0.0,0.0,0.0,-2.12,3.1,0.0
20220110:0111,0.0,0.0,0.0,-2.27,2.97,0.0
20220110:0211,0.0,0.0,0.0,-2.39,2.9,0.0
20220110:0311,0.0,0.0,0.0,-2.38,2.9,0.0
20220110:0411,0.0,0.0,0.0,-2.36,2.9,0.0
20220110:0511,0.0,0.0,0.0,-2.26,2.83,0.0
20220110:0611,0.0,0.0,0.0,-1.94,2.69,0.0
20220110:0711,0.0,0.0,0.0,-1.74,2.69,0.0
20220110:0811,0.0,1.79,2.11,-1.82,2.62,0.0
20220110:0911,375.83,420.24,6.03,-1.54,2.48,0.0
20220110:1011,177.37,206.53,8.29,-1.32,2.34,0.0
20220110:1111,13.31,26.9,8.72,-1.11,2.28,0.0
20220110:1211,4.62,14.34,7.28,-1.07,2.28,0.0
20220110:1311,0.0,3.59,4.09,-1.25,2.07,0.0
20220110:1411,0.0,0.0,0.0,-1.5,1.93,0.0
20220110:1511,0.0,0.0,0.0,-1.72,1.86,0.0
20220110:1611,0.0,0.0,0.0,-1.96,1.79,0.0
20220110:1711,0.0,0.0,0.0,-2.06,1.66,0.0
20220110:1811,0.0,0.0,0.0,-2.22,1.59,0.0
20220110:1911,0.0,0.0,0.0,-2.9,1.1,0.0
20220110:2011,0.0,0.0,0.0,-3.12,0.76,0.0
20220110:2111,0.0,0.0,0.0,-2.58,0.34,0.0
20220110:2211,0.0,0.0,0.0,-2.77,0.48,0.0
20220110:2311,0.0,0.0,0.0,-4.48,1.17,0.0
20220111:0011,0.0,0.0,0.0,-5.35,1.86,0.0
20220111:0111,0.0,0.0,0.0,-4.13,2.21,0.0
20220111:0211,0.0,0.0,0.0,-2.9,2.34,0.0
20220111:0311,0.0,0.0,0.0,-2.21,2.48,0.0
20220111:0411,0.0,0.0,0.0,-1.68,2.62,0.0
20220111:0511,0.0,0.0,0.0,-1.5,2.83,0.0
20220111:0611,0.0,0.0,0.0,-1.49,2.97,0.0
20220111:0711,0.0,0.0,0.0,-1.57,3.17,0.0
20220111:0811,0.0,1.79,2.22,-1.42,3.38,0.0
20220111:0911,3.01,11.65,6.16,-0.89,3.72,0.0
20220111:1011,2.5,10.76,8.43,-0.51,3.93,0.0
20220111:1111,144.88,172.43,8.87,-0.26,4.21,0.0
20220111:1211,8.73,20.62,7.45,-0.06,4.48,0.0
20220111:1311,0.0,3.59,4.27,-0.01,4.83,0.0
20220111:1411,0.0,0.0,0.0,-0.13,4.97,0.0
20220111:1511,0.0,0.0,0.0,-0.15,4.9,0.0
20220111:1611,0.0,0.0,0.0,-0.06,4.83,0.0
20220111:1711,0.0,0.0,0.0,-0.26,4.76,0.0
20220111:1811,0.0,0.0,0.0,-0.45,4.83,0.0
20220111:1911,0.0,0.0,0.0,-0.24,4.9,0.0
20220111:2011,0.0,0.0,0.0,-0.3,4.9,0.0
20220111:2111,0.0,0.0,0.0,-0.34,4.76,0.0
20220111:2211,0.0,0.0,0.0,-0.31,4.76,0.0
20220111:2311,0.0,0.0,0.0,-0.23,4.69,0.0
20220112:0011,0.0,0.0,0.0,-0.24,4.48,0.0
20220112:0111,0.0,0.0,0.0,-0.13,4.21,0.0
20220112:0211,0.0,0.0,0.0,0.05,4.0,0.0
20220112:0311,0.0,0.0,0.0,0.2,3.93,0.0
20220112:0411,0.0,0.0,0.0,0.42,3.79,0.0
20220112:0511,0.0,0.0,0.0,0.51,3.52,0.0
20220112:0611,0.0,0.0,0.0,0.53,3.38,0.0
20220112:0711,0.0,0.0,0.0,0.53,3.59,0.0
20220112:0811,0.0,1.79,2.34,0.54,3.93,0.0
20220112:0911,9.3,21.52,6.29,0.94,4.21,0.0
20220112:1011,1.99,9.86,8.58,0.98,4.48,0.0
20220112:1111,9.92,22.41,9.04,1.2,4.62,0.0
20220112:1211,40.72,60.44,7.62,1.24,4.55,0.0
20220112:1311,236.5,271.35,4.44,1.65,4.83,0.0
20220112:1411,0.0,0.0,0.0,1.98,5.1,0.0
20220112:1511,0.0,0.0,0.0,2.32,5.17,0.0
20220112:1611,0.0,0.0,0.0,2.58,5.1,0.0
20220112:1711,0.0,0.0,0.0,2.82,5.1,0.0
20220112:1811,0.0,0.0,0.0,3.08,5.24,0.0
20220112:1911,0.0,0.0,0.0,3.01,5.66,0.0
20220112:2011,0.0,0.0,0.0,3.19,5.52,0.0
20220112:2111,0.0,0.0,0.0,3.31,5.17,0.0
20220112:2211,0.0,0.0,0.0,3.62,5.31,0.0
20220112:2311,0.0,0.0,0.0,3.96,5.72,0.0
20220113:0011,0.0,0.0,0.0,4.27,6.07,0.0
20220113:0111,0.0,0.0,0.0,4.59,6.21,0.0
20220113:0211,0.0,0.0,0.0,4.71,6.28,0.0
20220113:0311,0.0,0.0,0.0,4.67,6.28,0.0
20220113:0411,0.0,0.0,0.0,4.68,6.14,0.0
20220113:0511,0.0,0.0,0.0,4.86,6.14,0.0
20220113:0611,0.0,0.0,0.0,5.04,5.93,0.0
20220113:0711,0.0,0.0,0.0,4.92,6.21,0.0
20220113:0811,142.54,174.25,2.47,5.04,6.21,0.0
20220113:0911,145.22,176.39,6.43,5.46,6.41,0.0
20220113:1011,45.15,66.84,8.74,6.19,6.83,0.0
20220113:1111,32.76,52.47,9.21,6.88,7.1,0.0
20220113:1211,101.03,129.51,7.8,7.24,7.03,0.0
20220113:1311,282.1,326.92,4.63,7.21,6.69,0.0
20220113:1411,0.0,0.0,0.0,6.93,6.55,0.0
20220113:1511,0.0,0.0,0.0,6.57,6.62,0.0
20220113:1611,0.0,0.0,0.0,6.27,6.69,0.0
20220113:1711,0.0,0.0,0.0,6.05,6.76,0.0
20220113:1811,0.0,0.0,0.0,5.96,6.97,0.0
20220113:1911,0.0,0.0,0.0,5.93,7.31,0.0
20220113:2011,0.0,0.0,0.0,6.01,7.31,0.0
20220113:2111,0.0,0.0,0.0,6.1,7.24,0.0
20220113:2211,0.0,0.0,0.0,6.11,7.1,0.0
20220113:2311,0.0,0.0,0.0,6.1,6.97,0.0
20220114:0011,0.0,0.0,0.0,6.06,7.03,0.0
20220114:0111,0.0,0.0,0.0,6.07,7.24,0.0
20220114:0211,0.0,0.0,0.0,6.51,7.59,0.0
20220114:0311,0.0,0.0,0.0,5.65,7.86,0.0
20220114:0411,0.0,0.0,0.0,4.68,6.62,0.0
20220114:0511,0.0,0.0,0.0,4.34,7.45,0.0
20220114:0611,0.0,0.0,0.0,3.83,8.28,0.0
20220114:0711,0.0,0.0,0.0,3.29,8.14,0.0
20220114:0811,195.53,229.16,2.6,2.92,8.34,0.0
20220114:0911,436.2,485.88,6.58,2.9,8.48,0.0
20220114:1011,538.62,598.42,8.9,3.07,8.69,0.0
20220114:1111,567.46,630.81,9.38,3.18,8.76,0.0
20220114:1211,500.44,556.56,7.98,3.2,8.62,0.0
20220114:1311,324.53,365.7,4.82,3.06,8.48,0.0
20220114:1411,0.0,0.0,0.0,2.9,8.14,0.0
20220114:1511,0.0,0.0,0.0,2.68,7.59,0.0
20220114:1611,0.0,0.0,0.0,2.59,7.03,0.0
20220114:1711,0.0,0.0,0.0,2.39,6.62,0.0
20220114:1811,0.0,0.0,0.0,2.15,6.14,0.0
20220114:1911,0.0,0.0,0.0,2.43,6.97,0.0
20220114:2011,0.0,0.0,0.0,2.3,6.76,0.0
20220114:2111,0.0,0.0,0.0,2.01,6.48,0.0
20220114:2211,0.0,0.0,0.0,1.66,6.34,0.0
20220114:2311,0.0,0.0,0.0,1.34,6.21,0.0
20220115:0011,0.0,0.0,0.0,1.09,6.14,0.0
20220115:0111,0.0,0.0,0.0,0.85,6.14,0.0
20220115:0211,0.0,0.0,0.0,0.67,6.21,0.0
20220115:0311,0.0,0.0,0.0,0.46,5.79,0.0
20220115:0411,0.0,0.0,0.0,0.32,5.72,0.0
20220115:0511,0.0,0.0,0.0,0.06,5.52,0.0
20220115:0611,0.0,0.0,0.0,-0.12,5.31,0.0
20220115:0711,0.0,0.0,0.0,-0.27,4.76,0.0
20220115:0811,212.06,244.92,2.75,-0.46,4.21,0.0
20220115:0911,446.63,497.72,6.74,-0.42,3.93,0.0
20220115:1011,537.83,601.49,9.07,-0.12,3.72,0.0
20220115:1111,537.07,601.57,9.57,0.16,3.66,0.0
20220115:1211,425.32,475.42,8.18,0.34,3.79,0.0
20220115:1311,318.03,358.58,5.02,0.16,3.52,0.0
20220115:1411,0.0,0.0,0.0,-0.34,3.17,0.0
20220115:1511,0.0,0.0,0.0,-0.83,2.97,0.0
20220115:1611,0.0,0.0,0.0,-1.08,2.83,0.0
20220115:1711,0.0,0.0,0.0,-1.21,2.69,0.0
20220115:1811,0.0,0.0,0.0,-1.29,2.69,0.0
20220115:1911,0.0,0.0,0.0,-0.82,3.31,0.0
20220115:2011,0.0,0.0,0.0,-0.77,3.52,0.0
20220115:2111,0.0,0.0,0.0,-0.85,3.59,0.0
20220115:2211,0.0,0.0,0.0,-1.02,3.66,0.0
20220115:2311,0.0,0.0,0.0,-1.13,3.59,0.0
20220116:0011,0.0,0.0,0.0,-1.27,3.72,0.0
20220116:0111,0.0,0.0,0.0,-1.26,3.79,0.0
20220116:0211,0.0,0.0,0.0,-0.88,4.0,0.0
20220116:0311,0.0,0.0,0.0,-0.07,4.21,0.0
20220116:0411,0.0,0.0,0.0,1.23,4.41,0.0
20220116:0511,0.0,0.0,0.0,2.35,5.03,0.0
20220116:0611,0.0,0.0,0.0,2.9,5.52,0.0
20220116:0711,0.0,0.0,0.0,3.25,5.72,0.0
20220116:0811,0.0,1.79,2.9,3.33,5.86,0.0
20220116:0911,2.43,10.76,6.9,3.47,6.14,0.0
20220116:1011,9.79,22.41,9.25,3.64,6.34,0.0
20220116:1111,8.54,20.62,9.75,3.78,6.62,0.0
20220116:1211,1.49,8.97,8.37,3.9,6.62,0.0
20220116:1311,0.0,4.48,5.22,3.9,6.41,0.0
20220116:1411,0.0,0.0,0.0,3.84,6.0,0.0
20220116:1511,0.0,0.0,0.0,3.66,5.52,0.0
20220116:1611,0.0,0.0,0.0,3.48,4.97,0.0
20220116:1711,0.0,0.0,0.0,2.63,4.41,0.0
20220116:1811,0.0,0.0,0.0,1.52,4.0,0.0
20220116:1911,0.0,0.0,0.0,1.3,4.14,0.0
20220116:2011,0.0,0.0,0.0,1.21,4.55,0.0
20220116:2111,0.0,0.0,0.0,1.36,5.17,0.0
20220116:2211,0.0,0.0,0.0,2.03,6.34,0.0
20220116:2311,0.0,0.0,0.0,2.48,7.52,0.0
20220117:0011,0.0,0.0,0.0,2.48,7.59,0.0
20220117:0111,0.0,0.0,0.0,2.07,7.31,0.0
20220117:0211,0.0,0.0,0.0,1.29,7.52,0.0
20220117:0311,0.0,0.0,0.0,0.43,7.45,0.0
20220117:0411,0.0,0.0,0.0,0.11,7.59,0.0
20220117:0511,0.0,0.0,0.0,0.04,7.79,0.0
20220117:0611,0.0,0.0,0.0,0.13,7.93,0.0
20220117:0711,0.0,0.0,0.0,-0.13,7.24,0.0
20220117:0811,0.0,3.59,3.05,-0.15,6.97,0.0
20220117:0911,452.58,499.51,7.07,-0.09,6.76,0.0
20220117:1011,113.07,138.84,9.44,0.06,6.83,0.0
20220117:1111,369.38,409.58,9.95,0.25,6.62,0.0
20220117:1211,318.2,355.49,8.58,0.39,6.21,0.0
20220117:1311,192.44,222.91,5.43,0.25,5.45,0.0
20220117:1411,0.0,0.0,0.0,-0.16,4.9,0.0
20220117:1511,0.0,0.0,0.0,-0.58,4.97,0.0
20220117:1611,0.0,0.0,0.0,-0.43,4.9,0.0
20220117:1711,0.0,0.0,0.0,-0.16,5.03,0.0
20220117:1811,0.0,0.0,0.0,0.18,5.24,0.0
20220117:1911,0.0,0.0,0.0,0.26,5.17,0.0
20220117:2011,0.0,0.0,0.0,0.64,5.38,0.0
20220117:2111,0.0,0.0,0.0,0.7,5.31,0.0
20220117:2211,0.0,0.0,0.0,0.52,5.31,0.0
20220117:2311,0.0,0.0,0.0,0.17,5.03,0.0
20220118:0011,0.0,0.0,0.0,-0.14,4.76,0.0
20220118:0111,0.0,0.0,0.0,-0.34,4.62,0.0
20220118:0211,0.0,0.0,0.0,-0.49,4.34,0.0
20220118:0311,0.0,0.0,0.0,-0.63,3.93,0.0
20220118:0411,0.0,0.0,0.0,-0.86,3.38,0.0
20220118:0511,0.0,0.0,0.0,-1.03,3.31,0.0
20220118:0611,0.0,0.0,0.0,-1.08,3.1,0.0
20220118:0711,0.0,0.0,0.0,-1.38,2.83,0.0
20220118:0811,188.43,219.62,3.21,-1.2,2.9,0.0
20220118:0911,134.99,161.95,7.25,-0.65,3.52,0.0
20220118:1011,190.29,220.94,9.63,0.17,3.93,0.0
20220118:1111,100.4,126.14,10.15,0.81,4.07,0.0
20220118:1211,89.61,114.49,8.79,1.02,3.93,0.0
20220118:1311,0.0,5.38,5.64,0.98,4.14,0.0
20220118:1411,0.0,0.0,0.0,0.72,4.21,0.0
20220118:1511,0.0,0.0,0.0,0.28,4.07,0.0
20220118:1611,0.0,0.0,0.0,-0.03,4.14,0.0
20220118:1711,0.0,0.0,0.0,-0.21,4.0,0.0
20220118:1811,0.0,0.0,0.0,-0.09,4.07,0.0
20220118:1911,0.0,0.0,0.0,0.94,4.34,0.0
20220118:2011,0.0,0.0,0.0,1.27,4.62,0.0
20220118:2111,0.0,0.0,0.0,1.24,4.34,0.0
20220118:2211,0.0,0.0,0.0,1.15,4.21,0.0
20220118:2311,0.0,0.0,0.0,1.15,4.28,0.0
20220119:0011,0.0,0.0,0.0,1.28,4.14,0.0
20220119:0111,0.0,0.0,0.0,1.49,4.14,0.0
